iter	Passed	Remaining
0	73	73039
1	87	43697
2	102	34025
3	118	29483
4	132	26350
5	145	24028
6	155	21998
7	163	20243
8	169	18716
9	176	17443
10	182	16434
11	190	15704
12	197	14991
13	203	14346
14	210	13796
15	216	13313
16	222	12881
17	229	12511
18	235	12172
19	242	11868
20	248	11576
21	254	11331
22	261	11093
23	267	10879
24	273	10673
25	280	10494
26	287	10347
27	293	10196
28	300	10050
29	308	9964
30	315	9848
31	323	9784
32	329	9660
33	336	9560
34	343	9458
35	349	9357
36	358	9328
37	368	9331
38	375	9246
39	381	9152
40	387	9068
41	393	8981
42	400	8905
43	406	8827
44	412	8761
45	419	8693
46	425	8624
47	431	8563
48	438	8500
49	444	8443
50	450	8386
51	456	8322
52	462	8270
53	469	8221
54	475	8170
55	481	8124
56	488	8083
57	494	8032
58	500	7990
59	507	7950
60	513	7908
61	520	7874
62	526	7836
63	533	7795
64	539	7757
65	545	7722
66	551	7685
67	558	7651
68	565	7626
69	573	7618
70	580	7595
71	587	7566
72	594	7547
73	600	7517
74	607	7487
75	614	7469
76	622	7456
77	628	7425
78	634	7400
79	640	7371
80	647	7344
81	653	7319
82	659	7289
83	666	7267
84	672	7243
85	679	7220
86	686	7205
87	692	7176
88	698	7151
89	704	7127
90	711	7103
91	720	7113
92	727	7098
93	734	7077
94	740	7052
95	746	7030
96	753	7009
97	759	6991
98	766	6971
99	773	6962
100	781	6957
101	787	6934
102	794	6915
103	800	6897
104	807	6879
105	813	6858
106	819	6839
107	825	6821
108	832	6802
109	838	6783
110	844	6764
111	851	6747
112	857	6730
113	863	6712
114	870	6696
115	876	6678
116	882	6662
117	889	6647
118	895	6631
119	902	6615
120	908	6597
121	915	6589
122	922	6580
123	931	6582
124	938	6571
125	945	6559
126	951	6541
127	958	6526
128	964	6510
129	970	6494
130	977	6482
131	983	6468
132	990	6454
133	996	6440
134	1002	6426
135	1009	6410
136	1015	6395
137	1021	6380
138	1027	6366
139	1034	6354
140	1040	6340
141	1046	6325
142	1053	6311
143	1059	6298
144	1065	6284
145	1071	6270
146	1078	6257
147	1084	6241
148	1090	6227
149	1096	6212
150	1102	6199
151	1108	6186
152	1115	6173
153	1121	6160
154	1130	6165
155	1137	6154
156	1144	6143
157	1151	6135
158	1157	6122
159	1163	6110
160	1170	6099
161	1176	6088
162	1185	6085
163	1191	6073
164	1197	6060
165	1203	6048
166	1210	6036
167	1217	6027
168	1223	6016
169	1230	6005
170	1236	5994
171	1242	5982
172	1249	5973
173	1255	5961
174	1261	5949
175	1268	5940
176	1275	5929
177	1281	5917
178	1287	5906
179	1294	5896
180	1300	5886
181	1307	5875
182	1313	5864
183	1319	5853
184	1326	5842
185	1332	5833
186	1339	5822
187	1345	5811
188	1351	5801
189	1358	5792
190	1368	5796
191	1376	5790
192	1382	5779
193	1388	5767
194	1394	5755
195	1400	5744
196	1406	5734
197	1412	5722
198	1419	5712
199	1425	5703
200	1432	5692
201	1438	5682
202	1445	5673
203	1451	5663
204	1457	5652
205	1463	5640
206	1469	5630
207	1476	5621
208	1482	5612
209	1489	5601
210	1495	5591
211	1501	5580
212	1507	5569
213	1513	5559
214	1521	5553
215	1529	5550
216	1538	5551
217	1546	5548
218	1553	5539
219	1560	5531
